YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	Amount	Ships
1907-06-08	8	43.79	-126.45	317.81		11.7		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	 					nw 1/4 n	270	290	8	30.12	62			oc	cun	10	
1907-06-08	9	43.92	-126.53	317.81		9.7		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	 					nw 1/4 n											
1907-06-08	10	44.14	-126.68	315		15.1		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	1000: NW					nw 1/4 n / nw	270	290	5	30.10	57			ocr	cun	10	
1907-06-08	11	44.25	-126.76	315		8.1		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	 																
1907-06-08	12	44.35	-126.83	315		7.2		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	 			44 20 47 N	126 49 30 W	nw	270	290	5	30.11	57			ocr	cun	10	
1907-06-08	13	44.49	-126.91	315		9.7		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	 					nw											
1907-06-08	14	44.64	-127.01	315		10.3		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	 					nw	292	312	8	30.11	58			bc	cun	8	
1907-06-08	15	44.80	-127.10	315		10.7		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	 					nw											
1907-06-08	16	44.92	-127.18	315		8.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	 					nw	292	312	8	30.11	58			bc	cun	8	
1907-06-08	17	45.06	-127.26	315		9.1		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	 																
1907-06-08	18	45.21	-127.36	315		10.1		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	 					nw	292	312	13	30.12	56			bc	acu	8	
1907-06-08	19	45.37	-127.46	315		11.3		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	 																
1907-06-08	20	45.53	-127.55	315		10.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	 					nw	292	312	8	30.12	56			oc	acu	10	
1907-06-08	21	45.68	-127.65	315		10.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	 																
1907-06-08	22	45.84	-127.75	315		10.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	 					nw	292	312	8	30.16	56			oc	acu	9	
1907-06-08	23	45.99	-127.84	315		10.3		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	 																
1907-06-08	24	46.11	-127.92	315		8.2		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0036.JPG	 					nw	270	290	8	30.16	56			bc	scu	8	
1907-06-09	1	46.22	-127.99	315		7.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v446/mcculloch-v446_0037.JPG	 					nw											
