YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Weather	Ships	Other
1907-05-27	24	30.19	-160.05	336.09		10.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 					NNW1/8W	349	1	13	30.02	62	bc		
1907-05-28	1	30.33	-160.09	336.09		8.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0155.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0155.JPG	 					NNW1/8W	315	327	13	29.98	62	bc		
1907-05-28	2	30.48	-160.14	336.09		9.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0155.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0155.JPG	 					NNW1/8W	315	327	13	29.98	62	bc		
1907-05-28	3	30.63	-160.18	336.09		9.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0155.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0155.JPG	 					NNW1/8W	315	327	13	30.00	62	bc		
1907-05-28	4	30.78	-160.23	336.09		9.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0155.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0155.JPG	 					NNW1/8W	315	327	13	29.98	62	bc		
1907-05-28	5	30.91	-160.27	336.09		8.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0155.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0155.JPG	 					NNW1/8W	315	327	13	30.00	60	bc		
1907-05-28	6	31.06	-160.32	336.09		9.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0155.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0155.JPG	 					NNW1/8W	315	327	13	30.00	60	bc		
1907-05-28	7	31.21	-160.36	336.09		9.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0155.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0155.JPG	 					NNW1/8W	292	304	13	30.02	62	bc		
1907-05-28	8	31.37	-160.41	336.09		10		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0155.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0155.JPG	 			31 22N	160 24 30 W	NNW1/8W	281	293	16	30.02	64	bcpq		
1907-05-28	9	31.51	-160.49	336.09		8.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0155.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0155.JPG	 					NNW1/8W	281	293	16	30.04	64	bc		
