YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Long	Orig Course	DirM	DirT	Kts	Baro	Weather	Ships	Other	Baro cm HG			
1864-01-02	21	48.26	-5.02	202.5		2.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_02081863-02261864/Uss_Kearsarge_02081863-02261864_image_0714.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_02081863-02261864/Uss_Kearsarge_02081863-02261864_image_0714.jpg	 					ssw	135	113	13		bcq						
1864-01-02	22	48.24	-5.06	202.5		2.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_02081863-02261864/Uss_Kearsarge_02081863-02261864_image_0714.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_02081863-02261864/Uss_Kearsarge_02081863-02261864_image_0714.jpg	 					ssw	135	113	13		bcq						
1864-01-02	23	48.23	-5.05	157.5		2.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_02081863-02261864/Uss_Kearsarge_02081863-02261864_image_0714.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_02081863-02261864/Uss_Kearsarge_02081863-02261864_image_0714.jpg	 					sse	135	113	13		bcq						
1864-01-02	24	48.22	-5.04	157.5		2.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_02081863-02261864/Uss_Kearsarge_02081863-02261864_image_0714.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_02081863-02261864/Uss_Kearsarge_02081863-02261864_image_0714.jpg	 					sse	135	113	13	30.61	bcq			77.75			
1864-01-03	1	48.22	-5.04			0.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_02081863-02261864/Uss_Kearsarge_02081863-02261864_image_0715.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_02081863-02261864/Uss_Kearsarge_02081863-02261864_image_0715.jpg	0100 Blocking off Harbor of Brest						101	79			bc						
1864-01-03	2	48.22	-5.04			0.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_02081863-02261864/Uss_Kearsarge_02081863-02261864_image_0715.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_02081863-02261864/Uss_Kearsarge_02081863-02261864_image_0715.jpg	 						101	79			bc						
1864-01-03	3	48.22	-5.04			0.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_02081863-02261864/Uss_Kearsarge_02081863-02261864_image_0715.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_02081863-02261864/Uss_Kearsarge_02081863-02261864_image_0715.jpg	 						101	79			bc						
1864-01-03	4	48.22	-5.04			0.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_02081863-02261864/Uss_Kearsarge_02081863-02261864_image_0715.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_02081863-02261864/Uss_Kearsarge_02081863-02261864_image_0715.jpg	0400: St Mathieu Lt brg ExN; Pt de Raz Lt brg SSE1/4E; Isle de Seine Lty brg SxE.						101	79		30.53	bc			77.55			
1864-01-03	5	48.22	-5.04			0.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_02081863-02261864/Uss_Kearsarge_02081863-02261864_image_0715.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_02081863-02261864/Uss_Kearsarge_02081863-02261864_image_0715.jpg	 						101	79			bc						
1864-01-03	6	48.22	-5.04			0.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_02081863-02261864/Uss_Kearsarge_02081863-02261864_image_0715.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_02081863-02261864/Uss_Kearsarge_02081863-02261864_image_0715.jpg	 						101	79			bc						
