YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	Amount	Flora&Fauna	People	Ships	Other		
1921-01-04	3	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	 			47.615	-122.356																	
1921-01-04	4	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	 			47.615	-122.356		135	159	2	29.82	45		51	O	As	10						
1921-01-04	5	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	 			47.615	-122.356																	
1921-01-04	6	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	 			47.615	-122.356		135	159	2	29.82	45		51	O	As	10						
1921-01-04	7	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	 			47.615	-122.356																	
1921-01-04	8	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	"8AM: Seattle, Washington"			47.615	-122.356		0	0	0	29.66	45		51	O	N	10						
1921-01-04	9	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	 			47.615	-122.356																	
1921-01-04	10	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	 			47.615	-122.356		0	0	0	29.54	45		51	Ocr	N	10						
1921-01-04	11	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	 			47.615	-122.356																	
1921-01-04	12	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	 			47.615	-122.356		0	0	0	29.30	45		51	ocr	N	10						
